               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,  train/topleft_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,    val/topleft_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.043734,            0.022313,           0.0097555,              0.1064,             0.02665,             0.91172,             0.85179,             0.90619,             0.49507,            0.032859,            0.018444,           0.0062104,             0.10279,            0.022127,           0.0098981,           0.0098981,           0.0098981
                  38,            0.043449,            0.022251,            0.010659,             0.10663,            0.026924,             0.85283,             0.84221,             0.89225,             0.50176,            0.032098,            0.018867,           0.0084563,             0.10097,            0.022723,           0.0098924,           0.0098924,           0.0098924
                  39,            0.043263,             0.02217,           0.0094663,             0.10578,            0.026822,             0.85374,             0.76449,             0.85727,              0.4842,            0.033812,            0.020795,            0.012014,             0.10283,            0.024127,           0.0098865,           0.0098865,           0.0098865
                  40,            0.043592,            0.022175,           0.0098576,             0.10519,            0.026947,             0.88349,             0.84221,             0.90779,             0.49404,             0.03275,            0.019008,           0.0081119,              0.1013,            0.023443,           0.0098805,           0.0098805,           0.0098805
                  41,            0.042873,             0.02221,           0.0096065,             0.10564,            0.026854,              0.9044,             0.87315,             0.92777,             0.52309,            0.031687,            0.018059,           0.0060526,            0.099764,            0.022716,           0.0098743,           0.0098743,           0.0098743
                  42,            0.042562,            0.021716,           0.0093529,             0.10401,            0.026453,             0.87497,             0.88154,             0.92157,             0.52194,            0.031416,             0.01804,           0.0066264,             0.10075,            0.022361,            0.009868,            0.009868,            0.009868
                  43,            0.043189,            0.021858,           0.0098154,               0.105,            0.026324,             0.91055,             0.85616,              0.9278,             0.52538,            0.031374,            0.018615,           0.0063529,             0.10072,             0.02168,           0.0098615,           0.0098615,           0.0098615
                  44,            0.041889,            0.021906,            0.009761,             0.10427,            0.026596,             0.88114,             0.88349,             0.92356,             0.52226,            0.031283,            0.018166,           0.0064726,            0.098957,            0.021817,           0.0098549,           0.0098549,           0.0098549
                  45,              0.0425,            0.021406,           0.0089719,             0.10421,            0.026378,             0.92715,             0.85884,             0.91899,             0.51203,            0.031165,            0.018099,           0.0062629,            0.099224,            0.021774,           0.0098481,           0.0098481,           0.0098481
                  46,             0.04221,            0.021905,           0.0096155,             0.10459,            0.026845,             0.90489,             0.87686,             0.91574,             0.52321,              0.0314,            0.017994,           0.0059898,            0.098558,            0.021853,           0.0098412,           0.0098412,           0.0098412
                  47,            0.041847,            0.021731,           0.0091527,             0.10374,            0.026416,             0.89292,             0.88513,             0.92495,             0.52863,            0.031426,            0.018114,           0.0064005,             0.10012,            0.021483,           0.0098341,           0.0098341,           0.0098341
                  48,            0.041761,            0.021665,           0.0091382,             0.10362,            0.026384,             0.91552,             0.88224,             0.93117,             0.53633,            0.031339,            0.017702,           0.0054918,             0.10014,            0.022753,           0.0098268,           0.0098268,           0.0098268
                  49,            0.041575,            0.021652,           0.0091022,             0.10298,            0.026742,              0.9353,             0.85784,             0.92636,             0.53142,            0.031038,            0.018185,           0.0063096,            0.099416,            0.021834,           0.0098195,           0.0098195,           0.0098195
